X,Y,Z
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
3.627872,-649.368833,370.823800
3.547453,-629.996232,359.774314
3.298441,-581.276619,331.963669
2.709264,-473.858865,270.627344
2.673571,-464.176249,265.106280
2.619891,-451.583063,257.922162
2.634271,-450.865671,257.520369
2.631068,-447.218364,255.444726
2.592945,-437.773946,250.057348
2.502342,-419.700823,239.740518
2.446277,-407.664347,232.871198
2.563279,-424.486282,242.486554
2.489036,-409.671711,234.029427
2.432025,-397.901788,227.310984
2.581584,-419.916329,239.892618
2.575371,-416.533636,237.965145
2.568977,-413.208557,236.070273
2.579604,-412.691267,235.779248
2.589965,-412.186293,235.495026
2.564925,-406.130256,232.039025
2.574620,-405.656551,231.772167
2.601629,-407.951569,233.087034
2.557934,-399.239318,228.112540
2.566712,-398.808568,227.869564
2.592987,-401.137591,229.203283
2.548088,-392.532037,224.288946
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
3.743295,-543.778480,310.746309
3.447337,-500.325009,285.914662
3.288408,-476.884338,272.519420
2.807146,-406.826718,232.484491
2.521959,-365.306809,208.757631
2.540487,-367.849454,210.210665
2.522978,-365.223143,208.709843
2.541128,-367.807916,210.186932
2.540872,-367.777569,210.169589
2.504578,-362.579373,207.199039
2.485932,-359.983021,205.715345
2.467429,-357.453780,204.270016
2.501924,-362.651894,207.240572
2.482545,-360.090621,205.776986
2.516105,-365.258735,208.730459
2.586819,-375.883498,214.802227
2.620492,-381.192258,217.836166
2.655108,-386.701370,220.984656
2.707420,-394.857134,225.645670
2.760351,-403.179183,230.401789
2.775355,-406.032217,232.032653
2.828249,-414.502000,236.873379
2.880822,-423.010759,241.736488
2.819884,-414.907340,237.106387
2.890974,-426.292901,243.613726
2.962514,-437.852421,250.220634
2.917013,-432.183853,246.982291
3.026927,-449.629129,256.953089
3.002579,-447.228065,255.582317
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
